schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-aditya-mudbhary-durbean-1136283,Durbean,Aditya Mudbhary,2026-08-06T10:46:57Z,True,Engineering,2026-08-12T07:42:02.975084Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-wave-chaser-skinventory-1136266,Skinventory,Wave Chaser,2026-08-06T09:48:05Z,True,Engineering,2026-08-12T07:42:03.465960Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-kitchen-helper-tim-hortons-quebec-1136536,Tim Hortons Quã©Bec,Kitchen helper,2026-08-06T09:46:12Z,True,Engineering,2026-08-12T07:42:03.040623Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-food-store-supervisor-tim-hortons-quebec-1136535,Tim Hortons Quã©Bec,Food store supervisor,2026-08-06T09:44:44Z,True,Engineering,2026-08-12T07:42:02.842191Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-omega-skinventory-1136256,Skinventory,Omega,2026-08-06T09:43:18Z,True,Engineering,2026-08-12T07:42:02.914508Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-creating-connections-that-inspire-success-mukti-switzerland-1136267,Mukti Switzerland,Creating Connections That Inspire Success,2026-08-06T08:58:01Z,True,Engineering,2026-08-12T07:42:02.890245Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-yha-queensland-elockers-com-pty-ltd-1136265,Elockers.Com Pty Ltd,YHA QUEENSLAND,2026-08-06T05:58:01Z,True,Engineering,2026-08-12T07:42:02.899502Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-platypus-store-manager-tuggeranong-platypus-shoes-1136411,Platypus Shoes,Platypus Store Manager Tuggeranong,2026-08-06T04:52:37Z,True,Engineering,2026-08-12T07:42:02.905507Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-platypus-store-manager-mt-barker-platypus-shoes-1136414,Platypus Shoes,Platypus Store Manager Mt Barker,2026-08-06T04:52:37Z,True,Engineering,2026-08-12T07:42:03.010427Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-baxters-food-group-washington-state-university-school-of-food-science-1136338,Washington State University School Of Food Science,Baxters Food Group,2026-08-06T03:43:02Z,True,Engineering,2026-08-12T07:42:02.944046Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-barista-cafe-march-21-1136231,Cafe March 21,barista,2026-08-06T01:12:05Z,True,Engineering,2026-08-12T07:42:02.924646Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-cajera-procables-de-mexico-1136487,Procables De Mã©Xico,Cajera,2026-08-06T01:00:17Z,True,Engineering,2026-08-12T07:42:03.189041Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-maintenance-technician-the-mcbride-group-1136269,The Mcbride Group,Maintenance Technician,2026-08-05T23:50:54Z,True,Engineering,2026-08-12T07:42:02.984089Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-technical-storekeeper-carnival-corporation-1136268,Carnival Corporation,Technical Storekeeper,2026-08-05T23:19:41Z,True,Engineering,2026-08-12T07:42:03.094212Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-you-dont-need-more-information-cross-seat-1136311,Cross Seat,You Don't Need More Information,2026-08-05T19:29:15Z,True,Engineering,2026-08-12T07:42:02.937242Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-12650000-radical-reversibility-1136202,Radical Reversibility,12650000,2026-08-05T19:01:14Z,True,Engineering,2026-08-12T07:42:03.030917Z
